Index,CTE,p_error,d_error,i_error,steering_output
1,0.7598,0.07598,0,0,0.07598
2,0.7598,0.07598,0,0,0.07598
3,0.7598,0.07598,0,0,0.07598
4,0.7598,0.07598,0,0,0.07598
5,0.7598,0.07598,0,0,0.07598
6,0.7598,0.07598,0,0,0.07598
7,0.7599,0.07599,0,0,0.07599
8,0.7597,0.07597,-0,0,0.07597
9,0.7595,0.07595,-0,0,0.07595
10,0.7593,0.07593,-0,0,0.07593
11,0.759,0.0759,-0,0,0.0759
12,0.7586,0.07586,-0,0,0.07586
13,0.7583,0.07583,-0,0,0.07583
14,0.7578,0.07578,-0,0,0.07578
15,0.7574,0.07574,-0,0,0.07574
16,0.7567,0.07567,-0,0,0.07567
17,0.7561,0.07561,-0,0,0.07561
18,0.7552,0.07552,-0,0,0.07552
19,0.7542,0.07542,-0,0,0.07542
20,0.7535,0.07535,-0,0,0.07535
21,0.7523,0.07523,-0,0,0.07523
22,0.7514,0.07514,-0,0,0.07514
23,0.7488,0.07488,-0,0,0.07488
24,0.747,0.0747,-0,0,0.0747
25,0.7458,0.07458,-0,0,0.07458
26,0.7437,0.07437,-0,0,0.07437
27,0.7421,0.07421,-0,0,0.07421
28,0.7396,0.07396,-0,0,0.07396
29,0.7378,0.07378,-0,0,0.07378
30,0.7347,0.07347,-0,0,0.07347
31,0.7326,0.07326,-0,0,0.07326
32,0.729,0.0729,-0,0,0.0729
33,0.7264,0.07264,-0,0,0.07264
34,0.7223,0.07223,-0,0,0.07223
35,0.7194,0.07194,-0,0,0.07194
36,0.7146,0.07146,-0,0,0.07146
37,0.7095,0.07095,-0,0,0.07095
38,0.7058,0.07058,-0,0,0.07058
39,0.7,0.07,-0,0,0.07
40,0.6959,0.06959,-0,0,0.06959
41,0.6893,0.06893,-0,0,0.06893
42,0.6823,0.06823,-0,0,0.06823
43,0.6773,0.06773,-0,0,0.06773
44,0.6694,0.06694,-0,0,0.06694
45,0.6639,0.06639,-0,0,0.06639
46,0.6551,0.06551,-0,0,0.06551
47,0.649,0.0649,-0,0,0.0649
48,0.6393,0.06393,-0,0,0.06393
49,0.6326,0.06326,-0,0,0.06326
50,0.6238,0.06238,-0,0,0.06238
51,0.6201,0.06201,-0,0,0.06201
52,0.6201,0.06201,0,0,0.06201
53,0.6148,0.06148,-0,0,0.06148
54,0.6069,0.06069,-0,0,0.06069
55,0.6035,0.06035,-0,0,0.06035
56,0.6004,0.06004,-0,0,0.06004
57,0.5987,0.05987,-0,0,0.05987
58,0.5981,0.05981,-0,0,0.05981
59,0.5972,0.05972,-0,0,0.05972
60,0.5964,0.05964,-0,0,0.05964
61,0.5953,0.05953,-0,0,0.05953
62,0.5934,0.05934,-0,0,0.05934
63,0.5908,0.05908,-0,0,0.05908
64,0.5889,0.05889,-0,0,0.05889
65,0.5854,0.05854,-0,0,0.05854
66,0.5828,0.05828,-0,0,0.05828
