Index,CTE,p_error,d_error,i_error,steering_output
1,0.7598,0.11397,1.59558,0.0007598,1.71031
2,0.7598,0.11397,0,0.0015196,0.11549
3,0.7598,0.11397,0,0.0022794,0.116249
4,0.7598,0.11397,0,0.0030392,0.117009
5,0.7598,0.11397,0,0.003799,0.117769
6,0.7598,0.11397,0,0.0045588,0.118529
7,0.7598,0.11397,0,0.0053186,0.119289
8,0.7598,0.11397,0,0.0060784,0.120048
9,0.7597,0.113955,-0.00021,0.0068381,0.120583
10,0.7596,0.11394,-0.00021,0.0075977,0.121328
11,0.7594,0.11391,-0.00042,0.0083571,0.121847
12,0.7591,0.113865,-0.00063,0.0091162,0.122351
13,0.7589,0.113835,-0.00042,0.0098751,0.12329
14,0.7585,0.113775,-0.00084,0.0106336,0.123569
15,0.7581,0.113715,-0.00084,0.0113917,0.124267
16,0.7578,0.11367,-0.00063,0.0121495,0.12519
17,0.7573,0.113595,-0.00105,0.0129068,0.125452
18,0.7569,0.113535,-0.00084,0.0136637,0.126359
19,0.7563,0.113445,-0.00126,0.01442,0.126605
20,0.7557,0.113355,-0.00126,0.0151757,0.127271
21,0.7552,0.11328,-0.00105,0.0159309,0.128161
22,0.7545,0.113175,-0.00147,0.0166854,0.12839
23,0.7539,0.113085,-0.00126,0.0174393,0.129264
24,0.7531,0.112965,-0.00168,0.0181924,0.129477
25,0.7525,0.112875,-0.00126,0.0189449,0.13056
26,0.7515,0.112725,-0.0021,0.0196964,0.130321
27,0.7505,0.112575,-0.0021,0.0204469,0.130922
28,0.7497,0.112455,-0.00168,0.0211966,0.131972
29,0.7485,0.112275,-0.00252,0.0219451,0.1317
30,0.7477,0.112155,-0.00168,0.0226928,0.133168
31,0.7463,0.111945,-0.00294,0.0234391,0.132444
32,0.7448,0.11172,-0.00315,0.0241839,0.132754
33,0.7438,0.11157,-0.0021,0.0249277,0.134398
34,0.7421,0.111315,-0.00357,0.0256698,0.133415
35,0.7409,0.111135,-0.00252,0.0264107,0.135026
36,0.739,0.11085,-0.00399,0.0271497,0.13401
37,0.7377,0.110655,-0.00273,0.0278874,0.135812
38,0.7363,0.110445,-0.00294,0.0286237,0.136129
39,0.7341,0.110115,-0.00462,0.0293578,0.134853
40,0.7325,0.109875,-0.00336,0.0300903,0.136605
41,0.73,0.1095,-0.00525,0.0308203,0.13507
42,0.7282,0.10923,-0.00378,0.0315485,0.136998
43,0.7252,0.10878,-0.0063,0.0322737,0.134754
44,0.7231,0.108465,-0.00441,0.0329968,0.137052
45,0.7198,0.10797,-0.00693,0.0337166,0.134757
46,0.7174,0.10761,-0.00504,0.034434,0.137004
47,0.7136,0.10704,-0.00798,0.0351476,0.134208
48,0.7109,0.106635,-0.00567,0.0358585,0.136823
49,0.7066,0.10599,-0.00903,0.0365651,0.133525
50,0.7021,0.105315,-0.00945,0.0372672,0.133132
51,0.6988,0.10482,-0.00693,0.037966,0.135856
52,0.6937,0.104055,-0.01071,0.0386597,0.132005
53,0.6901,0.103515,-0.00756,0.0393498,0.135305
54,0.6844,0.10266,-0.01197,0.0400342,0.130724
55,0.6804,0.10206,-0.0084,0.0407146,0.134375
56,0.6741,0.101115,-0.01323,0.0413887,0.129274
57,0.6697,0.100455,-0.00924,0.0420584,0.133273
58,0.6628,0.09942,-0.01449,0.0427212,0.127651
59,0.6579,0.098685,-0.01029,0.0433791,0.131774
60,0.6504,0.09756,-0.01575,0.0440295,0.125839
61,0.6451,0.096765,-0.01113,0.0446746,0.13031
62,0.6368,0.09552,-0.01743,0.0453114,0.123401
63,0.6281,0.094215,-0.01827,0.0459395,0.121884
64,0.6221,0.093315,-0.0126,0.0465616,0.127277
65,0.6159,0.092385,-0.01302,0.0471775,0.126543
66,0.6061,0.090915,-0.02058,0.0477836,0.118119
67,0.5993,0.089895,-0.01428,0.0483829,0.123998
68,0.5889,0.088335,-0.02184,0.0489718,0.115467
69,0.5816,0.08724,-0.01533,0.0495534,0.121463
70,0.5703,0.085545,-0.02373,0.0501237,0.111939
71,0.5585,0.083775,-0.02478,0.0506822,0.109677
72,0.5504,0.08256,-0.01701,0.0512326,0.116783
73,0.5379,0.080685,-0.02625,0.0517705,0.106206
74,0.5297,0.079455,-0.01722,0.0523002,0.114535
